track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Stream count
6Ap8lYgDbcDOPr9TAXfcnm,You,Lloyd,3,142vTN9svotwu8bxaOULNb,Street Love,1/1/07,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.412,0.876,5,-6.008,0,0.47,0.102,0,0.297,0.703,130.159,273133,"265,131,982"
0Ny5LbZnVS0IZKAdhbnhEx,Southside,Lloyd,1,2Iptn8WwQP7LFpJRZv7FoJ,Southside,1/1/04,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.687,0.404,9,-9.481,0,0.0812,0.377,0,0.0813,0.448,75.009,277840,"76,534,268"
68QgZ20yKM6wgX9UpFbSbL,Get It Shawty - Main,Lloyd,1,142vTN9svotwu8bxaOULNb,Street Love,1/1/07,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.822,0.905,5,-4.032,0,0.241,0.123,0,0.0496,0.674,128.014,209533,"81,436,762"
62OnJq6wHeTppRMWVw2Yo0,Age Ain't Nothing But a Number,Aaliyah,38,2TnI2Xr5FS0pZuFJh9XT1I,Age Ain't Nothing But A Number,5/24/94,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.555,0.532,6,-8.637,0,0.0295,0.139,0.0914,0.308,0.434,168.123,251960,"42,710,862"
3Xn6BioBEOrQnBN0yRrr4p,At Your Best (You Are Love),Aaliyah,37,2TnI2Xr5FS0pZuFJh9XT1I,Age Ain't Nothing But A Number,5/24/94,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.622,0.463,9,-9.596,0,0.0311,0.735,0.0183,0.0911,0.576,78.071,289893,"99,783,822"
7CAHOnKTOgmevBK0ohndz4,Street Thing,Aaliyah,27,2TnI2Xr5FS0pZuFJh9XT1I,Age Ain't Nothing But A Number,5/24/94,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.375,0.504,6,-8.941,0,0.0424,0.0551,5.11E-05,0.225,0.19,127.705,298240,"3,846,263"
6SObZyedSw2GP2bjJev1Dl,Old School,Aaliyah,26,2TnI2Xr5FS0pZuFJh9XT1I,Age Ain't Nothing But A Number,5/24/94,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.574,0.46,0,-9.689,1,0.18,0.764,7.36E-06,0.372,0.466,167.857,195013,"2,435,764"
60h6d9KbSEqZy1OKvUMh3Z,One In A Million,Aaliyah,0,1yMKNSoh1gaa1iqgadp4sF,Ultimate R&B 2007,1/1/07,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.744,0.502,11,-5.313,0,0.0468,0.0298,2.23E-05,0.111,0.389,121.911,270253,"80,762,915"
1kuZSCuFZh718pUEMhgfSs,Try Again,Aaliyah,6,7AFeHhDXLlRioqZsfhOb97,R&B Divas,1/1/07,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.783,0.58,6,-7.398,0,0.298,0.0817,0,0.0831,0.762,93.026,284360,"135,971,976"
4QDAMBiRAZXK20zDCQiiuE,Are You That Somebody,Aaliyah,41,0Det4fQRMLOl5m7U96MaGT,"Best Of Hip Hop & R&B, Vol. 4",2/26/14,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.852,0.658,9,-7.104,0,0.172,0.161,0.0131,0.0999,0.839,137.986,265667,"159,239,205"
03yUFstSdQheHSdqQRWlmr,I Don't Wanna,Aaliyah,0,1yO7FNYr1sora5NVTLwDPn,Ultimate CD2,2/12/03,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.706,0.522,9,-7.385,0,0.0352,0.546,0,0.276,0.684,130.034,256560,"50,132,781"
4BsX3Li27mT1QBN0eTRKEK,More Than A Woman,Aaliyah,3,63hQ8r6g1cA2tiviXXxF4t,R&B Divas,1/1/07,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.628,0.62,11,-7.706,1,0.0756,0.0739,0.000315,0.105,0.715,86.981,229040,"45,119,189"
5FSoniSw26EQqheDimw3Mw,Happily Ever After,Case,0,2QPJkjDw4pTOgFO9K4xd4B,Best Of,5/27/14,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0.749,0.616,4,-7.026,0,0.0341,0.172,0,0.0512,0.591,120.001,277853,"35,370,857"
