track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Stream count
2VsIWeVLvZfWGpB1yOPXun,Small Time,Lil' Troy,18,2czjXveZPf9X2dutQGlh2r,Sittin' Fat Down South,1998,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.742,0.769,7,-7.502,1,0.236,0.00452,8.95E-06,0.328,0.621,92.178,229307,"378,714"
2PTn4VFmNpPILrUrUfbu3D,Diamond & Gold,Lil' Troy,12,2czjXveZPf9X2dutQGlh2r,Sittin' Fat Down South,1998,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.875,0.597,1,-8.141,1,0.293,0.000179,0,0.317,0.339,87.191,179107,"143,139"
0xxfzwOmUyh7MFcBC1xFoY,The Trill Connection,DJ DMD,11,4rI0SuqUvuPKCC9TVnuntn,Twenty-Two : P.A. World Wide,1/1/98,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.809,0.782,7,-5.422,1,0.24,0.0225,1.66E-05,0.186,0.69,153.806,253627,"130,492"
2DeRFNYxCyEW0HKUf7pR2j,Makin' Moves,DJ DMD,6,4rI0SuqUvuPKCC9TVnuntn,Twenty-Two : P.A. World Wide,1/1/98,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.819,0.66,5,-5.782,0,0.253,0.0074,0,0.115,0.751,80.911,299333,"27,009"
7JG411Bqg3I54wvm7QYwxB,Shinin',DJ DMD,13,4rI0SuqUvuPKCC9TVnuntn,Twenty-Two : P.A. World Wide,1/1/98,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.772,0.663,11,-6.683,0,0.145,0.0189,0,0.33,0.637,84.18,289707,"127,648"
6GtPHjrFtw9uaMgDbWp0dn,Landmines,DJ DMD,7,4rI0SuqUvuPKCC9TVnuntn,Twenty-Two : P.A. World Wide,1/1/98,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.812,0.671,2,-5.26,1,0.145,0.00748,0,0.25,0.565,90.265,268893,"33,535"
5tlrEiYWEl0fsa6OFoV5EI,25 Lighters,DJ DMD,4,0tOOSfFhdnK2nek5l6hp5c,Twenty-Two P.A. (Clean Version),1998,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.826,0.638,1,-6.371,0,0.258,0.00564,0,0.414,0.699,167.848,288853,"9,104,177"
0VLzsKvDxmQB5FfeKHDOJQ,Roll With It - Explicit Album Version,Three 6 Mafia,41,0Pe9KCcaFK7CkeZPWXCuaB,Most Known Unknown (New Package-Explicit),6/20/06,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.808,0.741,7,-4.76,1,0.0535,0.113,0,0.0815,0.418,80.004,182467,"13,648,365"
309z0CzeLvltCqcvpeOD9T,Hard Hittaz - Explicit Album Version,Three 6 Mafia,23,0Pe9KCcaFK7CkeZPWXCuaB,Most Known Unknown (New Package-Explicit),6/20/06,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.793,0.861,6,-5.461,1,0.0927,0.22,0,0.0676,0.648,152.028,252493,"1,580,558"
17ZCxegdCt1y0reBkHVmMB,Hard Out Here for a Pimp,Three 6 Mafia,45,0Pe9KCcaFK7CkeZPWXCuaB,Most Known Unknown (New Package-Explicit),6/20/06,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.85,0.705,0,-7.537,1,0.0616,0.022,0.000939,0.0721,0.839,160.961,169187,"11,232,070"
